# ----------------------------------------
# 1 Master View
# Top Conversion Paths
# 20170207-20170306
# ----------------------------------------

Source/Medium Path,Conversions,Conversion Value
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2,$238.00
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic,2,$135.95
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),2,$789.15
(direct) / (none) > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral,2,$679.30
(direct) / (none) > (direct) / (none) > google / organic,2,$62.37
(direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none),2,$339.99
(direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),2,$286.93
(direct) / (none) > moma.corp.google.com / referral,2,$357.00
google / organic > google / cpc,2,$142.85
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2,$51.96
facebook.com / referral,2,$61.93
mall.googleplex.com / referral > sites.google.com / referral > (direct) / (none),2,$268.00
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2,$888.68
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2,$277.88
mall.googleplex.com / referral > (direct) / (none) > google / organic,2,$325.57
mall.googleplex.com / referral > moma.corp.google.com / referral,2,$480.78
moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral,2,$317.00
moma.corp.google.com / referral > mall.googleplex.com / referral > (direct) / (none),2,$377.00
dfa / cpm > dfa / cpm,1,$76.77
dfa / cpm > dfa / cpm > mall.googleplex.com / referral,1,$67.18
dfa / cpm > (direct) / (none),1,$49.58
dfa / cpm > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none),1,$26.97
dfa / cpm > google / organic,1,$15.19
dfa / cpm > google / organic > (direct) / (none),1,$35.18
dfa / cpm > google / organic > (direct) / (none) > sites.google.com / referral,1,$119.00
m.facebook.com / referral,1,$3.98
l.facebook.com / referral,1,$18.99
mail.google.com / referral > (direct) / (none) > mall.googleplex.com / referral,1,$33.59
mail.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),1,$52.07
sites.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$238.00
sites.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$238.00
sites.google.com / referral > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),1,$357.00
sites.google.com / referral > (direct) / (none) > mall.googleplex.com / referral,1,$119.00
sites.google.com / referral > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),1,$265.76
sites.google.com / referral > google / organic,1,$149.00
sites.google.com / referral > google / organic > (direct) / (none),1,$149.00
sites.google.com / referral > groups.google.com / referral,1,$387.00
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > (direct) / (none) > (direct) / (none),1,$149.00
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none),1,$298.00
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > google / organic,1,$149.00
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > groups.google.com / referral,1,$238.00
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral,1,$238.00
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral,1,$149.00
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral,1,$149.00
sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > moma.corp.google.com / referral,1,$119.00
sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none),1,$149.00
sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > sites.google.com / referral,1,$238.00
sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral,1,$149.00
sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),1,$158.00
sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$149.00
sites.google.com / referral > mall.googleplex.com / referral > groups.google.com / referral,1,$476.00
sites.google.com / referral > mall.googleplex.com / referral > groups.google.com / referral > (direct) / (none),1,$149.00
sites.google.com / referral > mall.googleplex.com / referral > moma.corp.google.com / referral > sites.google.com / referral,1,$238.00
sites.google.com / referral > mall.googleplex.com / referral > moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$228.00
sites.google.com / referral > moma.corp.google.com / referral > sites.google.com / referral,1,$149.00
sites.google.com / referral > moma.corp.google.com / referral > sites.google.com / referral > mall.googleplex.com / referral,1,$277.00
sites.google.com / referral > moma.corp.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none),1,$149.00
sites.google.com / referral > moma.corp.google.com / referral > (direct) / (none),1,$119.00
sites.google.com / referral > moma.corp.google.com / referral > (direct) / (none) > sites.google.com / referral > (direct) / (none),1,$461.00
google / cpc > google / cpc,1,$657.86
google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc > google / cpc,1,$32.97
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$55.99
google / cpc > google / organic > google / cpc > google / cpc,1,$39.99
google / cpc > google / organic > (direct) / (none) > (direct) / (none) > google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$35.98
google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$53.96
Partners / affiliate,1,$7.97
Partners / affiliate > (direct) / (none) > (direct) / (none),1,$21.99
bing / organic,1,$84.96
google.com / referral > (direct) / (none) > dealspotr.com / referral,1,$87.97
yahoo / organic > (direct) / (none),1,$70.97
(direct) / (none) > dfa / cpm > dfa / cpm,1,$85.95
(direct) / (none) > mail.google.com / referral,1,$33.59
(direct) / (none) > mail.google.com / referral > mall.googleplex.com / referral,1,$33.59
(direct) / (none) > sites.google.com / referral,1,$149.00
(direct) / (none) > sites.google.com / referral > (direct) / (none),1,$228.00
(direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral,1,$158.00
(direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none),1,$238.00
(direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral > moma.corp.google.com / referral,1,$277.00
(direct) / (none) > sites.google.com / referral > moma.corp.google.com / referral > sites.google.com / referral,1,$417.00
(direct) / (none) > (direct) / (none) > dfa / cpm > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$23.98
(direct) / (none) > (direct) / (none) > l.facebook.com / referral,1,$149.00
(direct) / (none) > (direct) / (none) > sites.google.com / referral,1,$357.00
(direct) / (none) > (direct) / (none) > sites.google.com / referral > (direct) / (none),1,$119.00
(direct) / (none) > (direct) / (none) > google / cpc,1,$100.77
(direct) / (none) > (direct) / (none) > (direct) / (none) > sites.google.com / referral,1,$357.00
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > mall.googleplex.com / referral,1,$63.97
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral,1,$162.88
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > dfa / cpm,1,$86.98
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$15.19
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$7.19
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$19.99
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$7.19
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$39.99
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$19.99
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$298.00
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$34.99
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$149.00
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral,1,$127.13
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none),1,$69.99
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > mail.google.com / referral,1,$271.84
(direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$16.78
(direct) / (none) > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none),1,$101.54
(direct) / (none) > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$298.00
(direct) / (none) > (direct) / (none) > google / organic > (direct) / (none),1,$119.00
(direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none),1,$20.98
(direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$149.00
(direct) / (none) > (direct) / (none) > tpc.googlesyndication.com / referral > (direct) / (none) > (direct) / (none),1,$238.00
(direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$119.00
(direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > google / organic,1,$211.15
(direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > google / organic > mall.googleplex.com / referral,1,$13.59
(direct) / (none) > google / organic,1,$79.00
(direct) / (none) > google / organic > google / cpc,1,$79.00
(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$416.73
(direct) / (none) > groups.google.com / referral,1,$10.50
(direct) / (none) > mall.googleplex.com / referral > (direct) / (none) > sites.google.com / referral > (direct) / (none),1,$417.00
(direct) / (none) > mall.googleplex.com / referral > (direct) / (none) > google / cpc,1,$17.59
(direct) / (none) > moma.corp.google.com / referral > mall.googleplex.com / referral,1,$298.00
google / organic > dealspotr.com / referral,1,$99.99
google / organic > mall.googleplex.com / referral > (direct) / (none),1,$49.54
google / organic > mall.googleplex.com / referral > (direct) / (none) > google / organic > mall.googleplex.com / referral > (direct) / (none),1,$30.39
google / organic > dfa / cpm,1,$210.42
google / organic > dfa / cpm > google / organic > (direct) / (none),1,$174.60
google / organic > dfa / cpm > google / organic > (direct) / (none) > (direct) / (none),1,$41.99
google / organic > google / cpc > google / organic > google / cpc > google / cpc > (direct) / (none),1,$19.99
google / organic > (direct) / (none) > mall.googleplex.com / referral,1,$299.85
google / organic > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral,1,$559.80
google / organic > (direct) / (none) > (direct) / (none) > mall.googleplex.com / referral > (direct) / (none),1,$357.00
google / organic > (direct) / (none) > (direct) / (none) > moma.corp.google.com / referral > sites.google.com / referral,1,$119.00
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc,1,$119.00
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc > google / organic,1,$18.99
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$50.96
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$119.99
groups.google.com / referral > mall.googleplex.com / referral,1,$19.19
connect.googleforwork.com / referral > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none),1,$252.46
mall.googleplex.com / referral > dfa / cpm > mall.googleplex.com / referral > dfa / cpm,1,$46.37
mall.googleplex.com / referral > dfa / cpm > mall.googleplex.com / referral > (direct) / (none),1,$119.00
mall.googleplex.com / referral > mail.google.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$12.79
mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > (direct) / (none) > moma.corp.google.com / referral > mall.googleplex.com / referral,1,$149.00
mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none),1,$35.98
mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > sites.google.com / referral,1,$119.00
mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),1,$519.00
mall.googleplex.com / referral > sites.google.com / referral > moma.corp.google.com / referral,1,$149.00
mall.googleplex.com / referral > google / cpc > (direct) / (none),1,$106.36
mall.googleplex.com / referral > (direct) / (none) > sites.google.com / referral,1,$238.00
mall.googleplex.com / referral > (direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral,1,$149.00
mall.googleplex.com / referral > (direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > mall.googleplex.com / referral > (direct) / (none),1,$149.00
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > dfa / cpm > dfa / cpm > (direct) / (none) > dfa / cpm > google / cpc,1,$29.58
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > sites.google.com / referral > mall.googleplex.com / referral > sites.google.com / referral > (direct) / (none),1,$745.00
